State,Region,Year,Acre_Value
Oklahoma,Southern Plains,2012,1280
Texas,Southern Plains,2012,1590
Mountain,Mountain,2012,1600
Arizona,Mountain,2012,7960
Colorado,Mountain,2012,1450
Idaho,Mountain,2012,2580
Montana,Mountain,2012,852
New Mexico,Mountain,2012,1550
Utah,Mountain,2012,2690
Wyoming,Mountain,2012,1360
Pacific,Pacific,2012,5310
California,Pacific,2012,9400
Oregon,Pacific,2012,2340
Washington,Pacific,2012,2190
United States,USA,2012,3350
Northeast,Northeast,2013,5260
Delaware,Northeast,2013,7870
Maryland,Northeast,2013,6470
New Jersey,Northeast,2013,12900
New York,Northeast,2013,2550
Pennsylvania,Northeast,2013,5840
Other States,Northeast,2013,7060
Lake,Lake States,2013,4240
Michigan,Lake States,2013,4120
Minnesota,Lake States,2013,4390
Wisconsin,Lake States,2013,4010
Corn Belt,Corn Belt,2013,6470
Illinois,Corn Belt,2013,7190
Indiana,Corn Belt,2013,6590
Iowa,Corn Belt,2013,8000
Missouri,Corn Belt,2013,3500
Ohio,Corn Belt,2013,5190
Northern Plains,Northern Plains,2013,2720
Kansas,Northern Plains,2013,1930
Nebraska,Northern Plains,2013,4860
North Dakota,Northern Plains,2013,1750
South Dakota,Northern Plains,2013,2840
Appalachian,Appalachian,2013,3690
Kentucky,Appalachian,2013,3430
North Carolina,Appalachian,2013,4050
Tennessee,Appalachian,2013,3340
Virginia,Appalachian,2013,4450
West Virginia,Appalachian,2013,3200
Southeast,Southeast,2013,3690
Alabama,Southeast,2013,2750
Florida,Southeast,2013,6450
Georgia,Southeast,2013,3080
South Carolina,Southeast,2013,2440
Delta,Delta States,2013,2380
Arkansas,Delta States,2013,2380
Louisiana,Delta States,2013,2260
Mississippi,Delta States,2013,2470
Southern Plains,Southern Plains,2013,1480
Oklahoma,Southern Plains,2013,1390
Texas,Southern Plains,2013,1520
Mountain,Mountain,2013,1780
Arizona,Mountain,2013,8290
Colorado,Mountain,2013,1770
Idaho,Mountain,2013,2850
Montana,Mountain,2013,890
New Mexico,Mountain,2013,1450
Utah,Mountain,2013,3230
Wyoming,Mountain,2013,1360
Pacific,Pacific,2013,5690
California,Pacific,2013,9860
Oregon,Pacific,2013,2400
Washington,Pacific,2013,2420
United States,USA,2013,3810
Northeast,Northeast,2014,5260
Delaware,Northeast,2014,7880
Maryland,Northeast,2014,6470
New Jersey,Northeast,2014,13000
New York,Northeast,2014,2530
Pennsylvania,Northeast,2014,5840
Other States,Northeast,2014,7020
Lake,Lake States,2014,4670
Michigan,Lake States,2014,4500
Minnesota,Lake States,2014,4870
Wisconsin,Lake States,2014,4350
Corn Belt,Corn Belt,2014,7000
Illinois,Corn Belt,2014,7700
Indiana,Corn Belt,2014,7050
Iowa,Corn Belt,2014,8750
Missouri,Corn Belt,2014,3810
Ohio,Corn Belt,2014,5650
Northern Plains,Northern Plains,2014,3090
Kansas,Northern Plains,2014,2260
Nebraska,Northern Plains,2014,5180
North Dakota,Northern Plains,2014,2050
South Dakota,Northern Plains,2014,3430
Appalachian,Appalachian,2014,3780
Kentucky,Appalachian,2014,3550
North Carolina,Appalachian,2014,4200
Tennessee,Appalachian,2014,3400
Virginia,Appalachian,2014,4460
West Virginia,Appalachian,2014,3210
Southeast,Southeast,2014,3730
Alabama,Southeast,2014,2850
Florida,Southeast,2014,6500
Georgia,Southeast,2014,3080
South Carolina,Southeast,2014,2460
Delta,Delta States,2014,2510
Arkansas,Delta States,2014,2540
Louisiana,Delta States,2014,2380
Mississippi,Delta States,2014,2570
Southern Plains,Southern Plains,2014,1630
Oklahoma,Southern Plains,2014,1500
Texas,Southern Plains,2014,1680
Mountain,Mountain,2014,1690
Arizona,Mountain,2014,8320
Colorado,Mountain,2014,1840
Idaho,Mountain,2014,3040
Montana,Mountain,2014,987
New Mexico,Mountain,2014,1450
Utah,Mountain,2014,3260
Wyoming,Mountain,2014,1370
Pacific,Pacific,2014,5860
California,Pacific,2014,10140
Oregon,Pacific,2014,2500
Washington,Pacific,2014,2560
United States,USA,2014,4100
Northeast,Northeast,2015,5330
Delaware,Northeast,2015,7950
Maryland,Northeast,2015,6470
New Jersey,Northeast,2015,13500
New York,Northeast,2015,2600
Pennsylvania,Northeast,2015,5900
Other States,Northeast,2015,7090
Lake,Lake States,2015,4730
Michigan,Lake States,2015,4550
Minnesota,Lake States,2015,4800
Wisconsin,Lake States,2015,4700
Corn Belt,Corn Belt,2015,6840
Illinois,Corn Belt,2015,7650
Indiana,Corn Belt,2015,7000
Iowa,Corn Belt,2015,8200
Missouri,Corn Belt,2015,3810
Ohio,Corn Belt,2015,5850
Northern Plains,Northern Plains,2015,3130
Kansas,Northern Plains,2015,2210
Nebraska,Northern Plains,2015,5070
North Dakota,Northern Plains,2015,2140
South Dakota,Northern Plains,2015,3730
Appalachian,Appalachian,2015,3830
Kentucky,Appalachian,2015,3720
North Carolina,Appalachian,2015,4100
Tennessee,Appalachian,2015,3470
Virginia,Appalachian,2015,4440
West Virginia,Appalachian,2015,3250
Southeast,Southeast,2015,3770
Alabama,Southeast,2015,2850
Florida,Southeast,2015,6560
Georgia,Southeast,2015,3160
South Carolina,Southeast,2015,2460
Delta,Delta States,2015,2600
Arkansas,Delta States,2015,2630
Louisiana,Delta States,2015,2500
Mississippi,Delta States,2015,2620
Southern Plains,Southern Plains,2015,1770
Oklahoma,Southern Plains,2015,1590
Texas,Southern Plains,2015,1840
Mountain,Mountain,2015,1740
Arizona,Mountain,2015,8320
Colorado,Mountain,2015,1910
Idaho,Mountain,2015,3200
Montana,Mountain,2015,997
New Mexico,Mountain,2015,1440
Utah,Mountain,2015,3300
Wyoming,Mountain,2015,1370
Pacific,Pacific,2015,6160
California,Pacific,2015,10690
Oregon,Pacific,2015,2600
Washington,Pacific,2015,2630
United States,USA,2015,4130
Northeast,Northeast,2016,5390
Delaware,Northeast,2016,8200
Maryland,Northeast,2016,6530
New Jersey,Northeast,2016,13000
New York,Northeast,2016,2580
Pennsylvania,Northeast,2016,6100
Other States,Northeast,2016,7090
Lake,Lake States,2016,4740
Michigan,Lake States,2016,4500
Minnesota,Lake States,2016,4750
Wisconsin,Lake States,2016,4900
Corn Belt,Corn Belt,2016,6710
Illinois,Corn Belt,2016,7450
Indiana,Corn Belt,2016,7000
Iowa,Corn Belt,2016,8000
Missouri,Corn Belt,2016,3770
Ohio,Corn Belt,2016,5800
Northern Plains,Northern Plains,2016,2960
Kansas,Northern Plains,2016,2050
Nebraska,Northern Plains,2016,4850
North Dakota,Northern Plains,2016,2000
South Dakota,Northern Plains,2016,3520
Appalachian,Appalachian,2016,3840
Kentucky,Appalachian,2016,3770
North Carolina,Appalachian,2016,3970
Tennessee,Appalachian,2016,3600
Virginia,Appalachian,2016,4430
West Virginia,Appalachian,2016,3160
Southeast,Southeast,2016,3920
Alabama,Southeast,2016,2950
Florida,Southeast,2016,6730
Georgia,Southeast,2016,3410
South Carolina,Southeast,2016,2460
Delta,Delta States,2016,2680
Arkansas,Delta States,2016,2710
Louisiana,Delta States,2016,2620
Mississippi,Delta States,2016,2680
Southern Plains,Southern Plains,2016,1820
Oklahoma,Southern Plains,2016,1640
Texas,Southern Plains,2016,1890
Mountain,Mountain,2016,1760
Arizona,Mountain,2016,8300
Colorado,Mountain,2016,1910
Idaho,Mountain,2016,3300
Montana,Mountain,2016,1010
New Mexico,Mountain,2016,1450
Utah,Mountain,2016,3340
Wyoming,Mountain,2016,1370
Pacific,Pacific,2016,6330
California,Pacific,2016,10910
Oregon,Pacific,2016,2730
Washington,Pacific,2016,2760
United States,USA,2016,4090
Northeast,Northeast,2017,5350
Delaware,Northeast,2017,8100
Maryland,Northeast,2017,6530
New Jersey,Northeast,2017,13000
New York,Northeast,2017,2580
Pennsylvania,Northeast,2017,6000
Other States,Northeast,2017,7200
Lake,Lake States,2017,4830
Michigan,Lake States,2017,4450
Minnesota,Lake States,2017,4800
Wisconsin,Lake States,2017,5200
Corn Belt,Corn Belt,2017,6670
Illinois,Corn Belt,2017,7350
Indiana,Corn Belt,2017,6700
Iowa,Corn Belt,2017,8100
Missouri,Corn Belt,2017,3820
Ohio,Corn Belt,2017,5780
Northern Plains,Northern Plains,2017,2830
Kansas,Northern Plains,2017,1970
Nebraska,Northern Plains,2017,4550
North Dakota,Northern Plains,2017,2000
South Dakota,Northern Plains,2017,3330
Appalachian,Appalachian,2017,3890
Kentucky,Appalachian,2017,3850
North Carolina,Appalachian,2017,3970
Tennessee,Appalachian,2017,3640
Virginia,Appalachian,2017,4480
West Virginia,Appalachian,2017,3160
Southeast,Southeast,2017,3940
Alabama,Southeast,2017,3000
Florida,Southeast,2017,6750
Georgia,Southeast,2017,3420
South Carolina,Southeast,2017,2500
Delta,Delta States,2017,2760
Arkansas,Delta States,2017,2790
Louisiana,Delta States,2017,2740
Mississippi,Delta States,2017,2720
Southern Plains,Southern Plains,2017,1930
Oklahoma,Southern Plains,2017,1740
Texas,Southern Plains,2017,2010
Mountain,Mountain,2017,1780
Arizona,Mountain,2017,8400
Colorado,Mountain,2017,1920
Idaho,Mountain,2017,3400
Montana,Mountain,2017,1020
New Mexico,Mountain,2017,1480
Utah,Mountain,2017,3420
Wyoming,Mountain,2017,1350
Pacific,Pacific,2017,6570
California,Pacific,2017,11290
Oregon,Pacific,2017,2860
Washington,Pacific,2017,2890
United States,USA,2017,4090
